Source,Target,weight
A,B,1
A,L,1
A,K,1
A,D,1
B,U,1
B,M,1
B,QQ,1
B,J,1
B,K,1
B,C,1
B,D,1
C,U,1
C,W,1
C,K,1
C,J,1
C,I,1
C,D,1
D,M,1
D,L,1
D,K,1
D,J,1
D,G,1
D,F,1
D,E,1
E,L,1
E,K,1
E,J,1
E,I,1
E,H,1
E,G,1
E,F,1
F,K,1
F,J,1
F,I,1
F,H,1
F,G,1
G,K,1
G,L,1
G,J,1
G,I,1
G,H,1
H,I,1
H,K,1
H,L,1
H,J,1
H,P,1
H,X,1
H,Y,1
H,Z,1
H,AA,1
H,BB,1
I,K,1
I,L,1
I,J,1
I,X,1
I,Z,1
I,AA,1
I,BB,1
J,K,1
J,L,1
J,P,1
J,X,1
J,QQ,1
J,AA,1
J,BB,1
J,CC,1
K,QQ,1
K,X,1
K,Y,1
K,U,1
K,V,1
K,W,1
K,L,1
K,N,1
K,M,1
L,M,1
L,N,1
L,O,1
L,U,1
L,V,1
L,W,1
L,X,1
L,Y,1
L,QQ,1
M,N,1
M,O,1
M,U,1
M,W,1
M,QQ,1
M,X,1
M,Y,1
N,O,1
N,QQ,1
N,W,1
N,Y,1
O,QQ,1
O,X,1
O,Y,1
P,U,1
P,V,1
P,W,1
P,X,1
P,Y,1
P,S,1
P,R,1
P,Q,1
Q,U,1
Q,V,1
Q,W,1
Q,X,1
Q,Y,1
Q,S,1
Q,R,1
R,U,1
R,V,1
R,W,1
R,X,1
R,Y,1
R,S,1
S,V,1
S,W,1
S,X,1
S,Y,1
S,Z,1
S,AA,1
S,BB,1
T,U,1
T,W,1
T,Z,1
T,AA,1
T,BB,1
V,U,1
V,W,1
V,X,1
V,Y,1
Z,U,1
Z,W,1
Z,X,1
Z,Y,1
Z,AA,1
Z,BB,1
Z,QQ,1
BB,U,1
BB,W,1
BB,X,1
BB,Y,1
BB,AA,1
Z,CC,1
Z,DD,1
Z,HH,1
Z,II,1
AA,CC,1
AA,DD,1
AA,HH,1
AA,II,1
BB,CC,1
BB,DD,1
BB,HH,1
BB,II,1
X,EE,1
X,FF,1
X,GG,1
Y,EE,1
Y,FF,1
Y,GG,1
CC,DD,1
CC,HH,1
CC,II,1
CC,GG,1
CC,FF,1
DD,HH,1
DD,II,1
DD,JJ,1
DD,KK,1
DD,GG,1
DD,FF,1
DD,EE,1
EE,HH,1
EE,II,1
EE,JJ,1
EE,KK,1
EE,GG,1
EE,FF,1
FF,GG,1
FF,HH,1
FF,II,1
FF,KK,1
FF,LL,1
FF,MM,1
FF,NN,1
FF,OO,1
FF,PP,1
QQ,CC,1
QQ,DD,1
QQ,HH,1
QQ,II,1
GG,HH,1
GG,II,1
GG,JJ,1
GG,KK,1
GG,LL,1
GG,MM,1
GG,NN,1
GG,OO,1
GG,PP,1
HH,KK,1
HH,JJ,1
HH,II,1
II,JJ,1
II,KK,1
JJ,KK,1
KK,LL,1
KK,MM,1
KK,NN,1
KK,OO,1
KK,PP,1
LL,MM,1
LL,NN,1
LL,OO,1
LL,PP,1
MM,NN,1
MM,OO,1
MM,PP,1
NN,OO,1
NN,PP,1
OO,PP,1
